Date,MSCI Emerging Markets Small Cap
05/1994,10000
06/1994,10082.869260814581
07/1994,10445.393163169529
08/1994,11963.312068680405
09/1994,12652.654820880822
10/1994,12660.084639374314
11/1994,12117.96408998698
12/1994,11742.304082207798
01/1995,10471.479046281482
02/1995,10751.87899876791
03/1995,10950.667402661229
04/1995,10874.599104229408
05/1995,11419.607733532706
06/1995,11503.641542700496
07/1995,11781.363033974536
08/1995,11421.214810260139
09/1995,11274.178935183569
10/1995,10812.784877640906
11/1995,10562.500145568547
12/1995,10882.471451097123
01/1996,11667.074258590295
02/1996,11716.963510041902
03/1996,11684.495901954346
04/1996,12203.837885552848
05/1996,11682.679206523335
06/1996,11820.771350247236
07/1996,11100.07895637835
08/1996,11242.223728371428
09/1996,11461.6246381166
10/1996,11226.898272043156
11/1996,11248.465707544647
12/1996,11110.699637359645
01/1997,11914.936730087971
02/1997,12683.561934175073
03/1997,12448.36974876034
04/1997,11892.321201068591
05/1997,11785.06629773775
06/1997,11959.352604279484
07/1997,11951.92278578599
08/1997,10508.814466485464
09/1997,10273.063297861192
10/1997,8717.45960764037
11/1997,7751.140675111972
12/1997,7264.9883195800185
01/1998,6792.391306879454
02/1998,7760.829717410697
03/1998,8098.432285006907
04/1998,7981.138974871376
05/1998,7260.842527442583
06/1998,6350.375333934241
07/1998,6312.178147948882
08/1998,4933.888589988145
09/1998,4967.031636120564
10/1998,5404.319542751736
11/1998,5997.400728075632
12/1998,6069.4629801724
01/1999,5838.160386257398
02/1999,5716.814447852689
03/1999,6412.166269555679
04/1999,7241.068496405041
05/1999,7223.134451765572
06/1999,7783.328791594756
07/1999,7680.685499742636
08/1999,7570.752135199406
09/1999,7236.945995234669
10/1999,7297.87516507473
11/1999,7731.646135679201
12/1999,8537.723214805603
01/2000,9119.787772708112
02/2000,9015.700440898006
03/2000,8798.325845287423
04/2000,8118.2296070115135
05/2000,7536.351376845519
06/2000,7436.223509436336
07/2000,7225.812912977961
08/2000,7205.7128084015185
09/2000,6517.045494245967
10/2000,5911.666678312151
11/2000,5580.422544724482
12/2000,5504.4707011279825
01/2001,6067.902485379096
02/2001,5865.038162249537
03/2001,5470.512471148315
04/2001,5538.312476272328
05/2001,5629.939140703062
06/2001,5529.112544281951
07/2001,5195.399568185471
08/2001,5247.5480434423125
09/2001,4563.282722061904
10/2001,4716.793485982332
11/2001,5195.120076580701
12/2001,5516.232639495424
01/2002,5817.7342081420575
02/2002,5841.63074034997
03/2002,6303.397453365662
04/2002,6374.993886121147
05/2002,6240.884497765232
06/2002,5771.501638519534
07/2002,5613.7519185934125
08/2002,5607.649685222581
09/2002,4963.3283723573495
10/2002,5222.0211435399015
11/2002,5562.535082019142
12/2002,5436.274749563878
01/2003,5608.767651641665
02/2003,5449.57389175756
03/2003,5240.5840442901035
04/2003,5613.7519185934125
05/2003,6132.837701554207
06/2003,6519.397881919456
07/2003,6902.767199796904
08/2003,7273.23332192076
09/2003,7342.710276673399
10/2003,7909.75216081947
11/2003,8154.144278224578
12/2003,8720.184650786887
01/2004,8954.561652354367
02/2004,9374.218296917908
03/2004,9415.000780247397
04/2004,8834.124061665165
05/2004,8417.6116976553
06/2004,8391.665560345733
07/2004,8205.454278667108
08/2004,8525.332420327426
09/2004,9055.504703610799
10/2004,9286.24831431626
11/2004,10245.207301252356
12/2004,10877.720093816019
01/2005,10916.266644307338
02/2005,11781.898726217012
03/2005,11121.040826736169
04/2005,10780.876252762893
05/2005,11013.017321492207
06/2005,11430.833979657671
07/2005,12043.083630875439
08/2005,12032.602695696529
09/2005,12839.657995439633
10/2005,12102.196105284489
11/2005,13189.045792370347
12/2005,14050.741700846163
01/2006,15205.274938220711
02/2006,15338.825343367083
03/2006,15642.120316477665
04/2006,16749.093399107027
05/2006,15268.090676392976
06/2006,14413.288894168176
07/2006,14582.777261494679
08/2006,15035.413915421184
09/2006,15523.592585087723
10/2006,16407.04225680155
11/2006,17825.415569079847
12/2006,18596.25341503805
01/2007,18582.48845350308
02/2007,19078.02706876192
03/2007,20011.505737729738
04/2007,21450.118900386868
05/2007,23290.96706424348
06/2007,24324.10778127919
07/2007,26304.212637212913
08/2007,24984.70948012233
09/2007,26810.95420762966
10/2007,28667.849847793535
11/2007,26104.143230131067
12/2007,26455.068230888024
01/2008,22678.181720783232
02/2008,24294.97078148182
03/2008,22758.04644684652
04/2008,23910.29716944877
05/2008,23438.4221767272
06/2008,20635.004926039535
07/2008,20200.372189653688
08/2008,18736.11567225883
09/2008,14901.164781262885
10/2008,10397.576807786638
11/2008,9793.781777613189
12/2008,11050.212995893804
01/2009,10363.17604943275
02/2009,9968.813395100979
03/2009,11380.641945634226
04/2009,13925.878826414753
05/2009,17142.87377926219
06/2009,17096.105517397187
07/2009,19250.40351600439
08/2009,19458.95083509763
09/2009,21037.752328514434
10/2009,21173.44550263072
11/2009,22170.718130387493
12/2009,23624.47042163638
01/2010,22754.180146313858
02/2010,22806.375203504827
03/2010,24821.160309397208
04/2010,25437.625625653607
