Date,Russell 2000
01/2005,10000
02/2005,10169.38261061855
03/2005,9878.268720112454
04/2005,9312.549724710698
05/2005,9922.065774919489
06/2005,10304.768226343205
07/2005,10957.633978231754
08/2005,10754.471126251707
09/2005,10788.206124469269
10/2005,10453.236574891664
11/2005,10960.699160498256
12/2005,10910.60835063772
01/2006,11888.98445982541
02/2006,11856.2536832723
03/2006,12431.483154533356
04/2006,12429.459313327734
05/2006,11731.416385126731
06/2006,11806.843437061374
07/2006,11422.665361604864
08/2006,11760.859585036207
09/2006,11858.775094313753
10/2006,12541.573907310405
11/2006,12871.479142177994
12/2006,12914.581329487739
01/2007,13130.700418154463
02/2007,13026.506105553544
03/2007,13165.960659664885
04/2007,13402.453719120062
05/2007,13951.358547388658
06/2007,13747.266853120484
07/2007,12807.026124779792
08/2007,13097.30719926244
09/2007,13322.120986685279
10/2007,13704.339563033762
11/2007,12720.289008454907
12/2007,12712.351792900346
01/2008,11845.440432208445
02/2008,11406.366555857705
03/2008,11454.148293297698
04/2008,11933.737199427254
05/2008,12481.935696170918
06/2008,11520.979012100854
07/2008,11947.32816305066
08/2008,12379.150011902862
09/2008,11392.775696981756
10/2008,9022.74265188523
11/2008,7955.471229090823
12/2008,8417.21550136457
01/2009,7481.041244025939
02/2009,6571.91962065184
03/2009,7158.574529811762
04/2009,8265.164180574335
05/2009,8514.350894229983
06/2009,8639.409756532066
07/2009,9471.475489440065
08/2009,9743.065407644244
09/2009,10305.016621367795
10/2009,9605.356357458328
11/2009,9906.872656210344
12/2009,10704.317157551926
01/2010,10310.275649968575
02/2010,10774.710240503859
03/2010,11651.649583824237
04/2010,12311.065753081197
05/2010,11377.230386273575
06/2010,10495.56341761804
07/2010,11216.811046900284
08/2010,10386.341568304408
09/2010,11680.441937326648
10/2010,12158.422508270285
11/2010,12579.998674354934
12/2010,13578.94983453973
01/2011,13543.959969502488
02/2011,14286.730788879944
03/2011,14656.985118030518
04/2011,15044.01811268416
05/2011,14761.961537245319
06/2011,14421.612747777448
07/2011,13900.340121173236
08/2011,12690.978011479398
09/2011,11268.294710902013
10/2011,12973.841953188285
11/2011,12926.549785981753
12/2011,13011.937374818808
01/2012,13931.2437994086
02/2012,14264.65152167282
03/2012,14630.145125290666
04/2012,14404.155124752502
05/2012,13450.749304927176
06/2012,14121.940101321497
07/2012,13926.78790062501
08/2012,14391.206810077476
09/2012,14863.786982143796
10/2012,14541.322777989139
11/2012,14618.582103541989
12/2012,15139.371277940345
01/2013,16086.988605667053
02/2013,16264.444789756735
03/2013,17015.43558851904
04/2013,16952.913318990682
05/2013,17630.48958653915
06/2013,17540.292913758363
07/2013,18767.82413002533
08/2013,18171.715409502795
09/2013,19331.134926992934
10/2013,19817.237169889828
11/2013,20611.197456447364
12/2013,21016.829708940648
01/2014,20435.08246660309
02/2014,21397.8038039862
03/2014,21251.95270264663
04/2014,20427.78535114204
05/2014,20591.470196481045
06/2014,21687.080800347212
07/2014,20374.383008505658
08/2014,21384.65844381953
09/2014,20091.00609520469
10/2014,21415.389959904456
11/2014,21434.58440057466
12/2014,22045.470089783732
01/2015,21336.355859330222
02/2015,22603.01590851787
03/2015,22996.78982125505
04/2015,22410.306104361676
05/2015,22921.936882393235
06/2015,23093.58725613747
07/2015,22825.196922830437
08/2015,21390.841492445717
09/2015,20341.34141132094
10/2015,21487.376872458764
11/2015,22186.335561153923
12/2015,21072.36274683113
01/2016,19219.375384227023
02/2016,19218.51572181736
03/2016,20752.377201235835
04/2016,21078.07854031251
05/2016,21552.858490523005
06/2016,21539.272248294405
07/2016,22825.309817315814
08/2016,23228.957516660303
09/2016,23487.68774430025
10/2016,22371.083925935403
11/2016,24865.731816607327
12/2016,25562.458752026054
01/2017,25663.287517077246
02/2017,26158.558638846072
03/2017,26192.7902952086
04/2017,26480.032215228952
05/2017,25941.321153782774
06/2017,26838.06720219908
07/2017,27037.46234621209
08/2017,26693.491447747514
09/2017,28359.40524979973
10/2017,28601.14882227509
11/2017,29425.416525726534
12/2017,29306.652186625994
01/2018,30072.5600285865
02/2018,28908.10066073771
03/2018,29281.989237951817
04/2018,29535.1429125219
05/2018,31327.942372590165
06/2018,31552.42900265708
07/2018,32102.34003115327
08/2018,33486.26956067125
09/2018,32680.850142448344
10/2018,29131.17255220321
11/2018,29594.20985428814
12/2018,26078.831831675874
01/2019,29012.661317883456
02/2019,30520.965751460284
03/2019,29882.18377672035
04/2019,30897.300403014422
05/2019,28494.333782521873
06/2019,30508.2367896065
07/2019,30683.882340127435
08/2019,29168.889781187252
09/2019,29775.792739169756
10/2019,30559.97775216697
11/2019,31817.97294398619
12/2019,32735.42924133503
01/2020,31685.553954806157
02/2020,29018.195708160645
03/2020,22713.561688143578
04/2020,25833.367159973943
05/2020,27514.466519520458
06/2020,28487.03388155427
07/2020,29275.50700730077
08/2020,30924.989467031806
09/2020,29891.992635420193
10/2020,30518.04671129909
11/2020,36143.27933237448
12/2020,39269.68852251258
01/2021,41245.82804103093
02/2021,43816.4802468932
03/2021,44256.56007518127
04/2021,45185.89942492787
05/2021,45279.05703297458
06/2021,46156.31584829092
07/2021,44489.66982657284
08/2021,45484.82946620122
09/2021,44143.716376799806
10/2021,46021.56280636073
11/2021,44103.855293176995
12/2021,45089.06356324553
01/2022,40748.17339467424
02/2022,41183.159838892185
03/2022,41695.729095978255
04/2022,37563.29485091251
05/2022,37620.060630631255
06/2022,34526.07064378475
07/2022,38130.689782407666
08/2022,37350.42997876297
09/2022,33770.933463346504
10/2022,37488.742017405035
11/2022,38364.394953281466
12/2022,35874.454417371286
01/2023,39370.99668565495
02/2023,38705.98581098113
03/2023,36856.62304803558
04/2023,36193.999876209455
05/2023,35859.66067357291
06/2023,38775.11193848053
07/2023,41146.347201219374
08/2023,39087.86882302008
09/2023,36786.680545984535
10/2023,34277.869595974866
11/2023,37380.34385168809
12/2023,41947.60931299416
01/2024,40316.118094768506
02/2024,42595.66028966028
03/2024,44120.53901868534
04/2024,41015.22114486213
05/2024,43072.840993476144
06/2024,42674.40382465815
07/2024,47010.08703575521
08/2024,46307.85743690128
09/2024,46631.50300619451
10/2024,45957.969781132735
11/2024,50999.28254623451
12/2024,46787.47059788728
01/2025,48014.200360296425
02/2025,45445.95171294374
03/2025,42352.499670259844
04/2025,41374.06931352614
05/2025,43583.45902262404
06/2025,45952.30605489837
07/2025,46749.44031753869
08/2025,50089.54832867417
09/2025,51648.00193972434
10/2025,52582.38677679478
11/2025,53087.53211579937
12/2025,52779.49782095778
01/2026,55603.88487133819
02/2026,56051.18908155425
03/2026,53247.580579330264
