Date,MSCI Europe Small Cap Value Weighted
11/1994,10000
12/1994,10095.460000000001
01/1995,10038.33
02/1995,10140.420000000002
03/1995,10395.490000000002
04/1995,10559.720000000001
05/1995,10808.390000000001
06/1995,10911.820000000002
07/1995,11294.02
08/1995,10874.840000000002
09/1995,11094.900000000001
10/1995,10871.12
11/1995,10596.140000000001
12/1995,10782.28
01/1996,10823.930000000002
02/1996,11290.760000000002
03/1996,11513.390000000001
04/1996,11628.699999999999
05/1996,11912.44
06/1996,11921.380000000001
07/1996,11713.330000000002
08/1996,11919.350000000002
09/1996,11814.47
10/1996,12087.7
11/1996,12461.86
12/1996,12823.470000000001
01/1997,13053.250000000002
02/1997,13186.470000000001
03/1997,13513.570000000002
04/1997,13163.31
05/1997,13642.080000000002
06/1997,13855.860000000002
07/1997,13840.160000000002
08/1997,13886.530000000002
09/1997,14680.460000000001
10/1997,14618.010000000002
11/1997,14355.130000000001
12/1997,14396.730000000001
01/1998,14817.74
02/1998,15932.240000000003
03/1998,17444.72
04/1998,18036.890000000003
05/1998,18805.290000000005
06/1998,18086.250000000004
07/1998,17859.730000000003
08/1998,15819.490000000002
09/1998,15030.660000000002
10/1998,15403.580000000002
11/1998,15734.020000000002
12/1998,15903.539999999999
01/1999,15606.440000000002
02/1999,15543.650000000001
03/1999,15800.650000000001
04/1999,16573.130000000005
05/1999,16394.68
06/1999,16548.030000000002
07/1999,17094.000000000004
08/1999,17317.97
09/1999,17168.850000000002
10/1999,16888.070000000003
11/1999,16827.460000000003
12/1999,17790.08
01/2000,17628.460000000003
02/2000,18084.06
03/2000,18043.800000000003
04/2000,17079.38
05/2000,17139.06
06/2000,17814.530000000002
07/2000,17623.100000000002
08/2000,17627.010000000002
09/2000,17268.940000000002
10/2000,16525.300000000003
11/2000,16571.74
12/2000,17757.9
01/2001,18412.99
02/2001,18158.22
03/2001,16751.47
04/2001,17550.120000000003
05/2001,17497.920000000002
06/2001,16772.940000000002
07/2001,16787.420000000002
08/2001,16988.300000000003
09/2001,14640.360000000002
10/2001,15175.450000000003
11/2001,16000.050000000003
12/2001,16299.56
01/2002,16101.2
02/2002,16382.030000000002
03/2002,17367.2
04/2002,18159.910000000003
05/2002,18710.660000000003
06/2002,17943.940000000002
07/2002,16041.940000000002
08/2002,15803.240000000002
09/2002,13895.310000000001
10/2002,14436.450000000003
11/2002,15294.760000000004
12/2002,15089.050000000001
01/2003,14782.080000000002
02/2003,14018.270000000002
03/2003,13893.180000000002
04/2003,15965.890000000001
05/2003,17996.4
06/2003,18426.54
07/2003,19391.74
08/2003,20127.54
09/2003,20987.47
10/2003,22694.820000000003
11/2003,23449.65
12/2003,24812.250000000004
01/2004,26209.040000000005
02/2004,27580.690000000002
03/2004,27105.800000000003
04/2004,26575.420000000002
05/2004,26612.590000000004
06/2004,27486.670000000006
07/2004,26528.530000000006
08/2004,26553.460000000003
09/2004,27891.890000000003
10/2004,28789.58
11/2004,31623.400000000005
12/2004,33616.54
