Date,MSCI USA Small Cap Value Weighted
11/1994,10000
12/1994,10196.560000000001
01/1995,10168.500000000002
02/1995,10619.630000000001
03/1995,10751.289999999999
04/1995,11016.480000000001
05/1995,11253.04
06/1995,11713.350000000002
07/1995,12330.72
08/1995,12608.41
09/1995,12789.140000000001
10/1995,12244.18
11/1995,12728.660000000002
12/1995,12980.380000000001
01/1996,13010.78
02/1996,13324.570000000003
03/1996,13720.229999999998
04/1996,14334.150000000001
05/1996,14814.920000000004
06/1996,14446.12
07/1996,13448.04
08/1996,14159.480000000005
09/1996,14655.590000000002
10/1996,14587.750000000002
11/1996,15239.760000000004
12/1996,15548.390000000001
01/1997,15939.270000000002
02/1997,15816.660000000002
03/1997,15219.390000000001
04/1997,15257.280000000002
05/1997,16785.870000000003
06/1997,17848.390000000003
07/1997,18806.99
08/1997,19254.49
09/1997,20726.870000000003
10/1997,20004.870000000003
11/1997,19991.640000000007
12/1997,20286.72
01/1998,20015.050000000003
02/1998,21510.920000000002
03/1998,22464.720000000005
04/1998,22711.83
05/1998,21690.15
06/1998,21478.780000000002
07/1998,19902.230000000003
08/1998,16369.640000000001
09/1998,17175.780000000002
10/1998,17858.800000000003
11/1998,18746.550000000003
12/1998,19502.260000000002
01/1999,19549.390000000003
02/1999,17934.54
03/1999,17942.260000000002
04/1999,19706.33
05/1999,20141.590000000007
06/1999,20986.020000000004
07/1999,20583.13
08/1999,19726.590000000004
09/1999,19385.760000000002
10/1999,19064.54
11/1999,19719.960000000003
12/1999,20655.500000000004
01/2000,19911.06
02/2000,20384.129999999997
03/2000,21254.370000000003
04/2000,20562.030000000002
05/2000,19991.469999999998
06/2000,20534.570000000003
07/2000,20864.630000000005
08/2000,22078.730000000003
09/2000,21705.680000000008
10/2000,21262.660000000003
11/2000,20400.640000000007
12/2000,22281.58
01/2001,24625.590000000007
02/2001,23652.81
03/2001,22779.32
04/2001,24221.62
05/2001,25358.470000000005
06/2001,26052.72
07/2001,25710.210000000003
08/2001,25367.11
09/2001,21968.250000000004
10/2001,22889.660000000003
11/2001,24731.360000000004
12/2001,27951.720000000005
01/2002,28125.920000000002
02/2002,28162.800000000007
03/2002,30792.489999999998
04/2002,31578.200000000004
05/2002,30597.489999999998
06/2002,28648.15
07/2002,24699.540000000005
08/2002,24736.190000000002
09/2002,22572.69
10/2002,23076.56
11/2002,25024.500000000004
12/2002,23987.130000000005
01/2003,23442.710000000003
02/2003,22639.450000000004
03/2003,22959.88
04/2003,26024.670000000002
05/2003,28722.78
06/2003,29367.910000000003
07/2003,30439.27
08/2003,31821.110000000004
09/2003,31464.679999999997
10/2003,33995.54000000001
11/2003,35333.87
12/2003,36836.590000000004
01/2004,37961.11000000001
02/2004,38779.15
03/2004,39148.87
04/2004,37430.67
05/2004,38064.590000000004
06/2004,39590.21000000001
07/2004,37900.41
08/2004,37931.25000000001
09/2004,39152.69
10/2004,39832.37
11/2004,43172.76
12/2004,44812.88
01/2005,43476.600000000006
02/2005,44517.950000000004
03/2005,43817.94
04/2005,41895.090000000004
05/2005,44657.430000000015
06/2005,46148.62
07/2005,48688.090000000004
08/2005,47804.54000000001
09/2005,47561.16
10/2005,45794.76
11/2005,47607.170000000006
12/2005,47585.090000000004
01/2006,50537.610000000015
02/2006,50272.50000000001
03/2006,51932.82000000001
04/2006,52361.65000000001
05/2006,50426.19
06/2006,50283.94
07/2006,49039.040000000015
08/2006,50024.040000000015
09/2006,50653.21000000001
10/2006,53054.34
11/2006,54874.54000000001
12/2006,55218.71
01/2007,56802.65000000001
02/2007,57015.20000000001
03/2007,57587.01000000002
04/2007,59285.31
05/2007,61976.650000000016
06/2007,60591.91
07/2007,56323.370000000024
08/2007,56409.51000000001
09/2007,56884.50000000001
10/2007,57695.25000000001
11/2007,53760.96
12/2007,53017.47000000001
01/2008,51337.060000000005
02/2008,49066.91
03/2008,48602.670000000006
04/2008,50942.600000000006
05/2008,52888.24
06/2008,46515.420000000006
07/2008,47673.840000000004
08/2008,50115.8
09/2008,45577.29000000001
10/2008,35582.130000000005
11/2008,32302.83000000001
12/2008,34522.170000000006
01/2009,30596.689999999995
02/2009,26216.149999999998
03/2009,29856.05
04/2009,38435.09000000001
05/2009,42055.05
06/2009,41952.450000000004
07/2009,46762.00000000001
08/2009,50339.240000000005
09/2009,53893.11000000001
10/2009,50029.14000000001
11/2009,51912.020000000004
12/2009,55948.680000000015
01/2010,54570.82000000001
02/2010,57282.020000000004
03/2010,61956.93000000001
04/2010,65831.34000000001
05/2010,60280.60000000001
06/2010,55400.1
07/2010,59618.19000000002
08/2010,55497.00000000001
09/2010,61923.67
10/2010,64388.32000000002
11/2010,66450.65000000001
12/2010,72016.45999999999
01/2011,72766.17000000001
02/2011,76353.86000000002
03/2011,77612.35
04/2011,79244.73000000003
05/2011,77735.91000000002
06/2011,76077.08
07/2011,73317.68000000001
08/2011,66975.11000000003
09/2011,59320.34000000001
10/2011,68104.89000000001
11/2011,67978.49
12/2011,68289.05
01/2012,72975.36000000002
02/2012,75550.45000000001
03/2012,76842.77000000002
04/2012,75939.91
05/2012,70447.04000000001
06/2012,73140.61000000002
07/2012,72024.77
08/2012,74775.94
09/2012,77076.37
10/2012,76556.43
11/2012,77750.96
12/2012,80474.29000000001
01/2013,86291.36000000002
02/2013,87125.27
03/2013,91585.44000000002
04/2013,91911.27
05/2013,95956.99
06/2013,94814.71
07/2013,101314.79000000001
08/2013,97797.21
09/2013,103361.03
10/2013,107295.56000000001
11/2013,110849.93000000001
12/2013,113374.77000000003
01/2014,109807.91000000002
02/2014,115100.62000000001
03/2014,116346.37000000001
04/2014,114486.75000000001
05/2014,115497.60000000002
06/2014,120544.37000000001
07/2014,114881.12
08/2014,120333.39
09/2014,112957.74000000002
10/2014,117595.47000000002
11/2014,117791.18000000001
12/2014,119324.31000000001
01/2015,114531.06000000001
02/2015,121971.68000000001
03/2015,123062.71000000002
04/2015,121563.52000000003
05/2015,122909.41000000002
06/2015,121024.76000000001
07/2015,117974.77000000003
08/2015,112473.92000000001
09/2015,106794.22000000002
10/2015,113340.34999999999
11/2015,115275.45000000001
12/2015,108277.63000000003
01/2016,100031.75000000001
02/2016,101920.24
03/2016,112300.84000000001
04/2016,116114.15000000002
05/2016,116204.20000000001
06/2016,115317.23000000001
07/2016,121301.74000000003
08/2016,122752.37
09/2016,123539.94000000002
10/2016,118688.75000000001
11/2016,133182.55
12/2016,137032.90000000002
01/2017,137818.62000000002
02/2017,139519.38
03/2017,137937.78000000003
04/2017,137825.53000000003
05/2017,133917.42
06/2017,137335.40000000002
07/2017,138511.67
08/2017,135588.24000000002
09/2017,143818.56000000003
10/2017,144459.84000000003
11/2017,148661.80000000002
